RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,269919.0
320,0.005333333333333333,0.0,267409.0
640,0.010666666666666666,0.0,268317.0
960,0.016,0.0,277394.0
1280,0.021333333333333333,0.0,264562.0
1600,0.02666666666666667,0.0,265856.0
1920,0.032,0.0,270506.0
2240,0.037333333333333336,0.0,270695.0
2560,0.042666666666666665,0.0,270937.0
2880,0.048,0.0,271009.0
3200,0.05333333333333334,0.0,270213.0
3520,0.058666666666666666,0.0,270453.0
3840,0.064,0.0,270950.0
4160,0.06933333333333333,0.0,270560.0
4480,0.07466666666666667,0.0,271837.0
4800,0.08,0.0,273532.0
5120,0.08533333333333333,0.0,274555.0
5440,0.09066666666666667,0.0,276212.0
5760,0.096,0.0,278896.0
6080,0.10133333333333333,0.0,281706.0
6400,0.10666666666666667,0.0,283685.0
6720,0.112,0.0,286404.0
7040,0.11733333333333333,0.0,290205.0
7360,0.12266666666666666,0.0,294025.0
7680,0.128,0.0,294688.0
8000,0.13333333333333333,0.0,296873.0
8320,0.13866666666666666,0.0,300163.0
8640,0.144,0.0,303353.0
8960,0.14933333333333335,0.0,306613.0
9280,0.15466666666666667,0.0,308886.0
9600,0.16,0.0,311322.0
9920,0.16533333333333333,0.0,313290.0
10240,0.17066666666666666,0.0,313446.0
10560,0.176,0.0,316270.0
10880,0.18133333333333335,0.0,320407.0
11200,0.18666666666666668,0.0,324199.0
11520,0.192,0.0,325170.0
11840,0.19733333333333333,0.0,326034.0
12160,0.20266666666666666,0.0,327242.0
12480,0.208,0.0,329207.0
12800,0.21333333333333335,0.0,330498.0
13120,0.21866666666666668,0.0,331797.0
13440,0.224,0.0,334307.0
13760,0.22933333333333333,0.0,335209.0
14080,0.23466666666666666,0.0,335264.0
14400,0.24,0.0,336839.0
14720,0.24533333333333332,0.0,338246.0
15040,0.25066666666666665,0.0,339458.0
15360,0.256,0.0,339474.0
15680,0.2613333333333333,0.0,341189.0
16000,0.26666666666666666,0.0,342642.0
16320,0.272,0.0,342433.0
16640,0.2773333333333333,0.0,343220.0
16960,0.2826666666666667,0.0,358966.0
17280,0.288,0.0,360353.0
17600,0.29333333333333333,0.0,338991.0
