RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,269704.0
320,0.005333333333333333,0.0,268723.0
640,0.010666666666666666,0.0,268921.0
960,0.016,0.0,273042.0
1280,0.021333333333333333,0.0,267049.0
1600,0.02666666666666667,0.0,267840.0
1920,0.032,0.0,270789.0
2240,0.037333333333333336,0.0,271564.0
2560,0.042666666666666665,0.0,271434.0
2880,0.048,0.0,270637.0
3200,0.05333333333333334,0.0,272787.0
3520,0.058666666666666666,0.0,275011.0
3840,0.064,0.0,272286.0
4160,0.06933333333333333,0.0,271516.0
4480,0.07466666666666667,0.0,272014.0
4800,0.08,0.0,273448.0
5120,0.08533333333333333,0.0,275860.0
5440,0.09066666666666667,0.0,277208.0
5760,0.096,0.0,278876.0
6080,0.10133333333333333,0.0,281226.0
6400,0.10666666666666667,0.0,283994.0
6720,0.112,0.0,286381.0
7040,0.11733333333333333,0.0,289996.0
7360,0.12266666666666666,0.0,293067.0
7680,0.128,0.0,292825.0
8000,0.13333333333333333,0.0,295319.0
8320,0.13866666666666666,0.0,298792.0
8640,0.144,0.0,301572.0
8960,0.14933333333333335,0.0,304291.0
9280,0.15466666666666667,0.0,306391.0
9600,0.16,0.0,309290.0
9920,0.16533333333333333,0.0,309711.0
10240,0.17066666666666666,0.0,313316.0
10560,0.176,0.0,315082.0
10880,0.18133333333333335,0.0,316358.0
11200,0.18666666666666668,0.0,319831.0
11520,0.192,0.0,320411.0
11840,0.19733333333333333,0.0,323203.0
12160,0.20266666666666666,0.0,327519.0
12480,0.208,0.0,328410.0
12800,0.21333333333333335,0.0,327099.0
13120,0.21866666666666668,0.0,329377.0
13440,0.224,0.0,331204.0
13760,0.22933333333333333,0.0,332371.0
14080,0.23466666666666666,0.0,334445.0
14400,0.24,0.0,335999.0
14720,0.24533333333333332,0.0,337716.0
15040,0.25066666666666665,0.0,338929.0
15360,0.256,0.0,340837.0
15680,0.2613333333333333,0.0,340782.0
16000,0.26666666666666666,0.0,341404.0
16320,0.272,0.0,342876.0
16640,0.2773333333333333,0.0,343173.0
16960,0.2826666666666667,0.0,345029.0
17280,0.288,0.0,345317.0
17600,0.29333333333333333,0.0,346432.0
17920,0.2986666666666667,0.0,347340.0
18240,0.304,0.0,347903.0
18560,0.30933333333333335,0.0,349366.0
18880,0.31466666666666665,0.0,350221.0
19200,0.32,0.0,350587.0
19520,0.3253333333333333,0.0,352696.0
19840,0.33066666666666666,0.0,352559.0
20160,0.336,0.0,352207.0
20480,0.3413333333333333,0.0,353582.0
20800,0.3466666666666667,0.0,352112.0
21120,0.352,0.0,353322.0
21440,0.35733333333333334,0.0,353857.0
21760,0.3626666666666667,0.0,353075.0
22080,0.368,0.0,355526.0
22400,0.37333333333333335,0.0,354494.0
22720,0.37866666666666665,0.0,354071.0
23040,0.384,0.0,357673.0
23360,0.3893333333333333,0.0,357400.0
23680,0.39466666666666667,0.0,357703.0
24000,0.4,0.0,358748.0
24320,0.4053333333333333,0.0,359277.0
